GRID_ID,permit_count,total_value,mean_value,median_value
GRID_00_02,4,42500,10625.0,10750.0
GRID_00_03,1,11000,11000.0,11000.0
GRID_01_02,2,97000,48500.0,48500.0
GRID_02_02,1,100000,100000.0,100000.0
GRID_03_01,3,3550000,1183333.3333333333,800000.0
GRID_03_02,1,66000,66000.0,66000.0
GRID_03_16,1,2215000,2215000.0,2215000.0
GRID_04_01,4,349000,87250.0,14000.0
GRID_04_14,1,60000,60000.0,60000.0
GRID_04_16,1,40000,40000.0,40000.0
GRID_04_18,1,360000,360000.0,360000.0
GRID_05_01,1,10000,10000.0,10000.0
GRID_05_02,3,37000,12333.333333333334,5000.0
GRID_05_03,3,600000,200000.0,248000.0
GRID_05_04,4,296000,74000.0,31000.0
GRID_05_05,2,60000,30000.0,30000.0
GRID_06_03,3,60000,20000.0,5000.0
GRID_06_04,13,1538000,118307.69230769231,20000.0
GRID_06_05,5,83500,16700.0,15000.0
GRID_06_06,5,301000,60200.0,10000.0
GRID_06_07,4,203325,50831.25,36500.0
GRID_06_15,4,132000,33000.0,30000.0
GRID_07_03,1,2000,2000.0,2000.0
GRID_07_04,3,459200,153066.66666666666,7000.0
GRID_07_05,11,369000,33545.454545454544,10000.0
GRID_07_06,22,2734100,124277.27272727272,17500.0
GRID_07_07,11,857865,77987.72727272728,50000.0
GRID_07_08,18,3199446,177747.0,62500.0
GRID_07_09,33,1463850,44359.09090909091,20000.0
GRID_07_10,2,102000,51000.0,51000.0
GRID_07_14,1,488000,488000.0,488000.0
GRID_07_15,10,1456100,145610.0,212000.0
GRID_08_05,1,2450000,2450000.0,2450000.0
GRID_08_06,7,6212000,887428.5714285715,30000.0
GRID_08_07,24,5503180,229299.16666666666,18500.0
GRID_08_08,10,407000,40700.0,15000.0
GRID_08_09,57,1262580,22150.526315789473,8000.0
GRID_08_10,2,75000,37500.0,37500.0
GRID_08_15,2,1700000,850000.0,850000.0
GRID_08_17,2,99000,49500.0,49500.0
GRID_08_21,3,17000,5666.666666666667,6000.0
GRID_09_03,1,60000,60000.0,60000.0
GRID_09_06,7,60400,8628.57142857143,6500.0
GRID_09_07,10,5440500,544050.0,15000.0
GRID_09_08,7,2920600,417228.5714285714,72000.0
GRID_09_09,3,57000,19000.0,22000.0
GRID_09_10,69,8020649,116241.28985507246,22000.0
GRID_09_11,33,9524056,288607.75757575757,18000.0
GRID_09_13,1,5000,5000.0,5000.0
GRID_09_15,1,30000,30000.0,30000.0
GRID_09_16,8,7706000,963250.0,133000.0
GRID_09_17,1,72000,72000.0,72000.0
GRID_10_03,3,200600,66866.66666666667,97000.0
GRID_10_07,5,376000,75200.0,30000.0
GRID_10_08,45,3036500,67477.77777777778,15000.0
GRID_10_09,35,4319020,123400.57142857143,25000.0
GRID_10_10,75,43906475,585419.6666666666,35000.0
GRID_10_11,20,7794000,389700.0,22500.0
GRID_10_12,4,14300,3575.0,3400.0
GRID_10_13,1,1300000,1300000.0,1300000.0
GRID_10_14,4,959916,239979.0,125000.0
GRID_11_02,6,338597,56432.833333333336,22875.0
GRID_11_05,1,25000,25000.0,25000.0
GRID_11_06,5,674800,134960.0,45000.0
GRID_11_08,17,873100,51358.82352941176,20000.0
GRID_11_09,21,6758200,321819.04761904763,110000.0
GRID_11_10,14,183500,13107.142857142857,10000.0
GRID_11_11,5,1321000,264200.0,15000.0
GRID_11_12,19,520684,27404.42105263158,15000.0
GRID_11_13,2,630000,315000.0,315000.0
GRID_11_14,2,12700,6350.0,6350.0
GRID_11_15,4,184300,46075.0,14400.0
GRID_11_16,3,7633000,2544333.3333333335,2578000.0
GRID_12_00,10,877000,87700.0,23500.0
GRID_12_01,4,118900,29725.0,29500.0
GRID_12_02,1,17000,17000.0,17000.0
GRID_12_05,4,225000,56250.0,26500.0
GRID_12_06,7,10597000,1513857.142857143,353000.0
GRID_12_07,15,17901400,1193426.6666666667,32000.0
GRID_12_08,5,33000,6600.0,2500.0
GRID_12_09,2,506000,253000.0,253000.0
GRID_12_12,10,361500,36150.0,14000.0
GRID_12_13,11,410000,37272.72727272727,14000.0
GRID_12_14,3,24000,8000.0,10000.0
GRID_12_15,3,839000,279666.6666666667,6000.0
GRID_12_16,21,2934000,139714.2857142857,216000.0
GRID_12_17,2,39300,19650.0,19650.0
GRID_12_18,2,87000,43500.0,43500.0
GRID_12_19,1,25000,25000.0,25000.0
GRID_12_20,4,364800,91200.0,100400.0
GRID_12_21,2,427000,213500.0,213500.0
GRID_13_01,1,208000,208000.0,208000.0
GRID_13_05,2,24000,12000.0,12000.0
GRID_13_06,1,420000,420000.0,420000.0
GRID_13_07,5,97500,19500.0,8000.0
GRID_13_08,4,4749000,1187250.0,299500.0
GRID_13_09,35,5656000,161600.0,167000.0
GRID_13_12,4,4285000,1071250.0,601000.0
GRID_13_13,21,4153550,197788.09523809524,108900.0
GRID_13_14,14,3131000,223642.85714285713,85000.0
GRID_13_15,6,145000,24166.666666666668,11500.0
GRID_13_16,14,17441000,1245785.7142857143,29000.0
GRID_13_17,3,8000,2666.6666666666665,3000.0
GRID_13_20,8,1012700,126587.5,134450.0
GRID_14_08,1,7000,7000.0,7000.0
GRID_14_12,2,84000,42000.0,42000.0
GRID_14_13,7,207500,29642.85714285714,23500.0
GRID_14_14,7,312500,44642.857142857145,6000.0
GRID_14_15,1,1500,1500.0,1500.0
GRID_14_16,16,2091300,130706.25,119000.0
GRID_14_17,3,66400,22133.333333333332,31000.0
GRID_14_18,4,404000,101000.0,46500.0
GRID_14_19,1,25000,25000.0,25000.0
GRID_14_20,1,130000,130000.0,130000.0
GRID_14_21,3,408000,136000.0,55000.0
GRID_15_09,6,797900,132983.33333333334,20500.0
GRID_15_10,8,3178000,397250.0,247000.0
GRID_15_11,1,66000,66000.0,66000.0
GRID_15_13,4,93000,23250.0,21500.0
GRID_15_14,16,4525000,282812.5,130000.0
GRID_15_15,1,179800,179800.0,179800.0
GRID_15_18,3,846000,282000.0,357000.0
GRID_15_19,4,401000,100250.0,50000.0
GRID_15_20,3,451000,150333.33333333334,50000.0
GRID_15_21,2,132000,66000.0,66000.0
GRID_15_22,2,50000,25000.0,25000.0
GRID_15_23,1,32000,32000.0,32000.0
GRID_15_24,1,1903000,1903000.0,1903000.0
GRID_16_12,2,425000,212500.0,212500.0
GRID_16_13,1,7500,7500.0,7500.0
GRID_16_14,6,780000,130000.0,130000.0
GRID_16_16,2,129000,64500.0,64500.0
GRID_16_17,2,313000,156500.0,156500.0
GRID_16_19,6,1457000,242833.33333333334,264500.0
GRID_16_20,3,313000,104333.33333333333,25000.0
GRID_16_21,1,6400,6400.0,6400.0
GRID_16_22,3,22900,7633.333333333333,6000.0
GRID_16_23,4,489000,122250.0,69500.0
GRID_16_24,2,56000,28000.0,28000.0
GRID_17_12,5,2204000,440800.0,500000.0
GRID_17_13,2,65000,32500.0,32500.0
GRID_17_14,1,185000,185000.0,185000.0
GRID_17_17,1,4000,4000.0,4000.0
GRID_17_22,2,494000,247000.0,247000.0
GRID_18_14,1,8400,8400.0,8400.0
GRID_18_18,1,15000,15000.0,15000.0
GRID_18_20,3,521000,173666.66666666666,216000.0
GRID_18_21,1,24000,24000.0,24000.0
GRID_19_19,1,250000,250000.0,250000.0
GRID_20_20,3,115000,38333.333333333336,50000.0
GRID_20_21,1,278000,278000.0,278000.0
